"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"1985年","26000","京都府","461290","","346047","","15.7","","34.4","","-0.5","","27","","132","","113",""
"1985年","27000","大阪府","186786","","59261","","16.6","","34.6","","0.6","","20","","128","","104",""
"1985年","28000","兵庫県","837798","","572998","","15.8","","33.1","","0.3","","23","","128","","103",""
"1985年","29000","奈良県","369215","","286562","","14.8","","33.7","","-2.1","","22","","144","","114",""
"1985年","30000","和歌山県","472462","","362739","","16.5","","32.7","","0.9","","25","","114","","93",""
"1985年","31000","鳥取県","349270","","257988","","14.7","","34.5","","-0.8","","21","","187","","157",""
"1985年","32000","島根県","662819","","528751","","14.6","","34.0","","-0.5","","23","","188","","160",""
"1985年","33000","岡山県","708991","","488557","","15.8","","32.9","","-0.6","","35","","122","","92",""
"1985年","34000","広島県","846637","","620972","","15.4","","32.3","","0.0","","27","","116","","101",""
"1985年","35000","山口県","610605","","433906","","15.0","","32.4","","-1.8","","20","","140","","135",""
"1985年","36000","徳島県","414522","","312634","","16.2","","31.7","","1.1","","38","","97","","107",""
"1985年","37000","香川県","188211","","89678","","15.7","","32.0","","-0.4","","30","","106","","111",""
"1985年","38000","愛媛県","567172","","403417","","16.2","","32.4","","0.4","","24","","117","","114",""
"1985年","39000","高知県","710713","","592917","","16.5","","31.6","","-0.2","","42","","111","","121",""
"1985年","40000","福岡県","495962","","226364","","16.6","","33.8","","1.0","","27","","148","","114",""
"1985年","41000","佐賀県","243339","","106567","","16.3","","33.7","","-0.3","","36","","139","","112",""
"1985年","42000","長崎県","411155","","238644","","16.9","","32.8","","1.7","","25","","146","","130",""
"1985年","43000","熊本県","740763","","464192","","16.7","","34.3","","-1.2","","23","","128","","129",""
"1985年","44000","大分県","633718","","448563","","16.0","","31.7","","0.3","","24","","123","","103",""
"1985年","45000","宮崎県","773477","","588328","","17.3","","31.4","","0.8","","46","","128","","122",""
"1985年","46000","鹿児島県","916503","","584735","","18.1","","32.3","","1.5","","27","","143","","129",""
"1985年","47000","沖縄県","225417","","107477","","22.5","","30.9","","13.8","","13","","154","","128",""
"1986年","01000","北海道","7852370","","","","7.7","","26.8","","-9.8","","18","","159","","147",""
"1986年","02000","青森県","961902","","","","9.2","","27.2","","-5.9","","16","","200","","158",""
"1986年","03000","岩手県","1527725","","","","9.4","","28.6","","-8.4","","8","","148","","117",""
"1986年","04000","宮城県","729167","","","","11.3","","27.2","","-3.8","","19","","141","","93",""
"1986年","05000","秋田県","1161239","","","","10.7","","28.8","","-4.4","","13","","197","","178",""
"1986年","06000","山形県","932660","","","","10.7","","30.2","","-5.9","","14","","164","","125",""
"1986年","07000","福島県","1378377","","","","12.0","","30.2","","-4.1","","12","","127","","99",""
"1986年","08000","茨城県","609443","","","","12.5","","29.1","","-4.2","","39","","138","","95",""
"1986年","09000","栃木県","641379","","","","12.5","","29.8","","-5.3","","37","","143","","101",""
"1986年","10000","群馬県","635561","","","","13.5","","30.4","","-2.9","","49","","120","","92",""
"1986年","11000","埼玉県","379932","","","","13.7","","31.0","","-3.0","","61","","143","","94",""
"1986年","12000","千葉県","515014","","","","14.6","","30.1","","-0.1","","49","","155","","99",""
"1986年","13000","東京都","216418","","","","15.2","","30.4","","0.8","","36","","130","","101",""
"1986年","14000","神奈川県","240211","","","","14.6","","30.1","","0.4","","34","","137","","101",""
"1986年","15000","新潟県","1257864","","","","12.9","","30.2","","-1.7","","14","","194","","169",""
"1986年","16000","富山県","425233","","","","12.8","","30.1","","-2.7","","15","","186","","170",""
"1986年","17000","石川県","419741","","","","13.7","","32.0","","-1.6","","18","","183","","170",""
"1986年","18000","福井県","419156","","","","13.5","","32.0","","-2.3","","26","","181","","163",""
"1986年","19000","山梨県","446348","","","","13.7","","32.2","","-5.7","","55","","117","","86",""
"1986年","20000","長野県","1358462","","","","11.0","","31.0","","-6.3","","19","","128","","84",""
"1986年","21000","岐阜県","1059575","","","","15.0","","32.8","","-1.3","","52","","122","","103",""
"1986年","22000","静岡県","777317","","","","15.7","","30.0","","-0.4","","57","","138","","96",""
"1986年","23000","愛知県","513837","","","","14.9","","32.7","","-1.2","","50","","116","","94",""
"1986年","24000","三重県","577759","","","","15.0","","30.9","","-0.7","","53","","126","","88",""
"1986年","25000","滋賀県","401600","","","","13.8","","31.5","","-1.2","","28","","175","","125",""
"1986年","26000","京都府","461291","","","","15.0","","33.2","","-0.9","","25","","119","","98",""
"1986年","27000","大阪府","186807","","","","15.8","","33.1","","0.3","","29","","113","","96",""
"1986年","28000","兵庫県","838083","","","","15.2","","32.1","","-0.4","","33","","99","","91",""
"1986年","29000","奈良県","369215","","","","14.2","","32.4","","-1.7","","32","","139","","96",""
"1986年","30000","和歌山県","472465","","","","15.8","","32.4","","0.5","","37","","100","","95",""
"1986年","31000","鳥取県","349409","","","","13.9","","32.7","","-1.8","","19","","174","","159",""
"1986年","32000","島根県","662825","","","","13.8","","31.6","","-0.9","","23","","171","","141",""
"1986年","33000","岡山県","709009","","","","15.2","","32.7","","-1.2","","38","","122","","78",""
"1986年","34000","広島県","846663","","","","14.8","","31.3","","-0.4","","40","","105","","92",""
"1986年","35000","山口県","610625","","","","14.3","","32.1","","-2.0","","42","","124","","113",""
"1986年","36000","徳島県","414524","","","","15.8","","32.1","","0.7","","34","","90","","85",""
"1986年","37000","香川県","188235","","","","15.2","","32.3","","-0.8","","42","","96","","89",""
"1986年","38000","愛媛県","567202","","","","15.5","","31.8","","-0.1","","45","","101","","88",""
"1986年","39000","高知県","710714","","","","15.9","","31.9","","-1.3","","57","","104","","100",""
"1986年","40000","福岡県","496111","","","","16.0","","31.9","","1.6","","29","","139","","119",""
"1986年","41000","佐賀県","243340","","","","15.7","","32.8","","0.1","","56","","131","","114",""
"1986年","42000","長崎県","411219","","","","16.3","","31.8","","1.9","","47","","140","","114",""
"1986年","43000","熊本県","740780","","","","16.0","","33.0","","-0.4","","42","","120","","119",""
"1986年","44000","大分県","633776","","","","15.4","","31.5","","-0.1","","50","","114","","96",""
"1986年","45000","宮崎県","773510","","","","16.9","","31.1","","0.8","","63","","111","","111",""
"1986年","46000","鹿児島県","916610","","","","17.5","","32.3","","2.0","","45","","130","","119",""
"1986年","47000","沖縄県","225452","","","","22.2","","31.7","","12.4","","17","","145","","103",""
"1987年","01000","北海道","7852393","","","","8.2","","24.8","","-8.6","","15","","165","","135",""
"1987年","02000","青森県","961910","","","","9.9","","26.2","","-5.6","","19","","195","","159",""
"1987年","03000","岩手県","1527735","","","","10.1","","26.8","","-6.4","","13","","142","","117",""
"1987年","04000","宮城県","729169","","","","12.2","","26.9","","-2.5","","23","","127","","102",""
"1987年","05000","秋田県","1161293","","","","11.3","","27.5","","-3.2","","18","","205","","160",""
"1987年","06000","山形県","932663","","","","11.7","","29.0","","-4.3","","16","","179","","140",""
"1987年","07000","福島県","1378379","","","","13.1","","29.4","","-1.8","","21","","140","","95",""
"1987年","08000","茨城県","609443","","","","13.6","","29.1","","-2.5","","50","","133","","106",""
"1987年","09000","栃木県","641379","","","","13.6","","29.7","","-3.8","","48","","143","","104",""
"1987年","10000","群馬県","635561","","","","14.7","","31.1","","-1.2","","55","","126","","94",""
"1987年","11000","埼玉県","379932","","","","14.9","","31.5","","-1.1","","69","","151","","88",""
"1987年","12000","千葉県","515060","","","","15.6","","30.1","","1.1","","53","","166","","103",""
"1987年","13000","東京都","216626","","","","16.3","","30.8","","1.9","","48","","146","","93",""
"1987年","14000","神奈川県","240290","","","","15.8","","30.3","","1.6","","46","","148","","105",""
"1987年","15000","新潟県","1257877","","","","13.9","","29.7","","-0.3","","17","","180","","148",""
"1987年","16000","富山県","425235","","","","14.1","","29.8","","-0.4","","14","","182","","165",""
"1987年","17000","石川県","419765","","","","14.7","","30.8","","0.7","","21","","172","","157",""
"1987年","18000","福井県","419160","","","","14.6","","31.1","","0.6","","26","","192","","150",""
"1987年","19000","山梨県","446348","","","","14.8","","32.9","","-2.2","","49","","129","","78",""
"1987年","20000","長野県","1358462","","","","12.2","","30.6","","-3.9","","25","","131","","85",""
"1987年","21000","岐阜県","1059575","","","","15.9","","32.6","","0.7","","50","","122","","96",""
"1987年","22000","静岡県","777327","","","","16.7","","31.1","","2.0","","57","","158","","110",""
"1987年","23000","愛知県","513869","","","","15.9","","32.6","","0.8","","36","","117","","94",""
"1987年","24000","三重県","577769","","","","16.0","","32.2","","1.5","","36","","135","","93",""
"1987年","25000","滋賀県","401600","","","","14.6","","31.5","","0.6","","24","","187","","123",""
"1987年","26000","京都府","461294","","","","15.9","","33.2","","1.3","","27","","122","","103",""
"1987年","27000","大阪府","186940","","","","16.8","","33.2","","2.8","","29","","100","","98",""
"1987年","28000","兵庫県","838089","","","","16.0","","31.4","","2.3","","32","","107","","90",""
"1987年","29000","奈良県","369215","","","","15.0","","32.7","","0.2","","35","","145","","108",""
"1987年","30000","和歌山県","472470","","","","16.6","","32.0","","2.4","","36","","104","","93",""
"1987年","31000","鳥取県","349410","","","","14.9","","31.1","","1.2","","17","","167","","142",""
"1987年","32000","島根県","662829","","","","14.7","","29.8","","1.1","","25","","162","","147",""
"1987年","33000","岡山県","709154","","","","16.1","","32.2","","1.1","","43","","131","","84",""
"1987年","34000","広島県","846687","","","","15.5","","29.9","","1.9","","41","","109","","103",""
"1987年","35000","山口県","610679","","","","15.1","","30.5","","0.1","","42","","146","","124",""
"1987年","36000","徳島県","414566","","","","16.5","","31.7","","2.8","","44","","101","","89",""
"1987年","37000","香川県","188260","","","","16.0","","31.8","","1.4","","44","","95","","99",""
"1987年","38000","愛媛県","567229","","","","16.3","","31.4","","2.6","","38","","116","","105",""
"1987年","39000","高知県","710717","","","","16.5","","31.4","","1.3","","51","","119","","109",""
"1987年","40000","福岡県","496261","","","","16.7","","31.0","","3.5","","27","","140","","128",""
"1987年","41000","佐賀県","244004","","","","16.3","","30.8","","1.7","","45","","154","","115",""
"1987年","42000","長崎県","411257","","","","17.0","","29.9","","4.0","","32","","132","","122",""
"1987年","43000","熊本県","740805","","","","16.5","","31.3","","0.9","","38","","123","","131",""
"1987年","44000","大分県","633802","","","","16.1","","30.9","","2.2","","40","","125","","117",""
"1987年","45000","宮崎県","773534","","","","17.6","","32.2","","2.5","","44","","131","","130",""
"1987年","46000","鹿児島県","916658","","","","18.2","","32.0","","3.5","","32","","131","","137",""
"1987年","47000","沖縄県","225497","","","","23.1","","31.7","","13.4","","6","","135","","132",""
"1988年","01000","北海道","7841320","","","","8.2","","27.2","","-8.6","","8","","153","","148",""
"1988年","02000","青森県","960445","","","","9.5","","28.1","","-5.9","","15","","210","","159",""
"1988年","03000","岩手県","1527413","","","","9.5","","29.2","","-9.1","","10","","178","","129",""
"1988年","04000","宮城県","728423","","","","11.5","","27.6","","-3.5","","14","","154","","115",""
"1988年","05000","秋田県","1161194","","","","10.9","","30.3","","-4.6","","11","","210","","167",""
"1988年","06000","山形県","932327","","","","10.8","","30.0","","-5.9","","4","","192","","147",""
"1988年","07000","福島県","1378103","","","","12.0","","30.2","","-3.0","","13","","152","","114",""
"1988年","08000","茨城県","609338","","","","12.8","","28.5","","-3.1","","44","","161","","104",""
"1988年","09000","栃木県","640828","","","","12.7","","29.7","","-4.1","","45","","155","","114",""
"1988年","10000","群馬県","636356","","","","13.6","","30.5","","-2.0","","49","","139","","106",""
"1988年","11000","埼玉県","379741","","","","14.0","","30.8","","-1.6","","67","","164","","100",""
"1988年","12000","千葉県","515561","","","","14.9","","29.5","","0.4","","52","","163","","105",""
"1988年","13000","東京都","211133","","","","15.4","","30.2","","1.1","","48","","143","","103",""
"1988年","14000","神奈川県","241068","","","","15.0","","29.8","","0.9","","38","","159","","106",""
"1988年","15000","新潟県","1258126","","","","13.0","","31.3","","-1.6","","12","","200","","172",""
"1988年","16000","富山県","424584","","","","12.9","","29.9","","-1.3","","15","","212","","184",""
"1988年","17000","石川県","418442","","","","13.7","","31.4","","-0.9","","15","","190","","194",""
"1988年","18000","福井県","418733","","","","13.6","","31.4","","-0.9","","18","","218","","183",""
"1988年","19000","山梨県","446537","","","","13.7","","31.0","","-2.5","","62","","149","","95",""
"1988年","20000","長野県","1358467","","","","11.0","","30.6","","-5.0","","22","","167","","120",""
"1988年","21000","岐阜県","1059787","","","","14.9","","32.1","","-0.5","","37","","138","","107",""
"1988年","22000","静岡県","777880","","","","15.9","","29.9","","1.5","","59","","161","","102",""
"1988年","23000","愛知県","514607","","","","15.0","","31.9","","-0.3","","33","","131","","105",""
"1988年","24000","三重県","577408","","","","15.2","","30.2","","1.0","","37","","141","","103",""
"1988年","25000","滋賀県","401723","","","","13.9","","30.4","","0.2","","22","","183","","125",""
"1988年","26000","京都府","461218","","","","15.0","","31.9","","0.6","","20","","133","","100",""
"1988年","27000","大阪府","188142","","","","16.1","","32.4","","1.8","","24","","129","","97",""
"1988年","28000","兵庫県","838114","","","","15.3","","31.1","","0.8","","35","","125","","91",""
"1988年","29000","奈良県","369041","","","","14.1","","30.9","","-1.2","","24","","155","","100",""
"1988年","30000","和歌山県","472220","","","","15.9","","31.4","","1.8","","27","","116","","97",""
"1988年","31000","鳥取県","349765","","","","14.0","","31.4","","0.0","","14","","187","","166",""
"1988年","32000","島根県","662547","","","","14.1","","30.3","","0.3","","16","","178","","160",""
"1988年","33000","岡山県","711087","","","","15.3","","31.7","","0.7","","35","","141","","75",""
"1988年","34000","広島県","847306","","","","15.5","","31.6","","1.2","","32","","119","","79",""
"1988年","35000","山口県","610862","","","","14.6","","31.3","","-0.5","","45","","128","","106",""
"1988年","36000","徳島県","414318","","","","15.8","","30.8","","1.8","","33","","126","","99",""
"1988年","37000","香川県","187460","","","","15.3","","31.0","","0.5","","36","","111","","99",""
"1988年","38000","愛媛県","567259","","","","15.7","","30.7","","1.3","","36","","117","","100",""
"1988年","39000","高知県","710387","","","","16.3","","31.9","","1.3","","44","","124","","96",""
"1988年","40000","福岡県","488357","","","","16.3","","31.2","","2.9","","30","","143","","111",""
"1988年","41000","佐賀県","243875","","","","15.9","","31.9","","1.9","","46","","140","","113",""
"1988年","42000","長崎県","408807","","","","16.7","","30.7","","3.7","","40","","120","","107",""
"1988年","43000","熊本県","734272","","","","16.2","","32.0","","1.6","","39","","115","","120",""
"1988年","44000","大分県","633554","","","","15.6","","30.0","","1.8","","46","","114","","95",""
"1988年","45000","宮崎県","773318","","","","17.1","","31.7","","2.8","","61","","120","","105",""
"1988年","46000","鹿児島県","918103","","","","17.8","","31.9","","4.2","","34","","123","","126",""
"1988年","47000","沖縄県","226281","","","","23.0","","32.7","","15.3","","10","","186","","131",""
"1989年","01000","北海道","7841197","","","","9.4","","27.3","","-5.7","","8","","165","","125",""
"1989年","02000","青森県","960467","","","","10.9","","29.1","","-3.5","","9","","187","","141",""
"1989年","03000","岩手県","1527438","","","","10.9","","29.5","","-4.1","","11","","160","","117",""
"1989年","04000","宮城県","728426","","","","12.7","","28.0","","-0.2","","14","","154","","101",""
"1989年","05000","秋田県","1161266","","","","12.1","","29.7","","-1.7","","14","","193","","162",""
"1989年","06000","山形県","932327","","","","12.1","","30.2","","-1.8","","9","","180","","125",""
"1989年","07000","福島県","1378108","","","","13.4","","30.4","","-0.2","","14","","170","","110",""
"1989年","08000","茨城県","609338","","","","13.9","","29.7","","-0.1","","42","","153","","114",""
"1989年","09000","栃木県","640828","","","","13.9","","30.1","","-1.0","","38","","171","","124",""
"1989年","10000","群馬県","636351","","","","14.6","","30.4","","1.1","","40","","144","","124",""
"1989年","11000","埼玉県","379741","","","","15.0","","31.1","","1.6","","62","","161","","118",""
"1989年","12000","千葉県","515561","","","","15.9","","30.0","","3.7","","39","","175","","123",""
"1989年","13000","東京都","218334","","","","16.4","","30.5","","4.3","","36","","160","","120",""
"1989年","14000","神奈川県","241134","","","","15.9","","30.1","","4.0","","34","","168","","127",""
"1989年","15000","新潟県","1258127","","","","14.2","","30.7","","1.5","","8","","202","","162",""
"1989年","16000","富山県","424585","","","","14.1","","29.1","","1.1","","12","","184","","164",""
"1989年","17000","石川県","418452","","","","14.7","","30.4","","1.7","","17","","172","","173",""
"1989年","18000","福井県","418758","","","","14.6","","30.4","","1.8","","14","","194","","170",""
"1989年","19000","山梨県","446537","","","","14.5","","31.5","","-0.6","","41","","158","","119",""
"1989年","20000","長野県","1358467","","","","12.2","","29.6","","-1.8","","18","","165","","117",""
"1989年","21000","岐阜県","1059787","","","","15.9","","32.4","","2.4","","42","","141","","123",""
"1989年","22000","静岡県","777884","","","","16.5","","30.6","","4.0","","48","","153","","126",""
"1989年","23000","愛知県","514671","","","","16.0","","32.6","","2.7","","40","","137","","110",""
"1989年","24000","三重県","577439","","","","15.9","","30.8","","3.5","","42","","138","","110",""
"1989年","25000","滋賀県","401723","","","","14.8","","30.7","","2.5","","25","","175","","133",""
"1989年","26000","京都府","461218","","","","15.8","","31.9","","3.0","","20","","132","","120",""
"1989年","27000","大阪府","188241","","","","16.9","","32.4","","4.4","","26","","123","","110",""
"1989年","28000","兵庫県","838149","","","","16.0","","30.8","","3.4","","34","","117","","107",""
"1989年","29000","奈良県","369041","","","","14.8","","31.5","","1.4","","31","","151","","107",""
"1989年","30000","和歌山県","472225","","","","16.6","","31.4","","4.1","","27","","120","","102",""
"1989年","31000","鳥取県","349774","","","","15.0","","30.4","","2.0","","12","","187","","166",""
"1989年","32000","島根県","662597","","","","14.8","","29.5","","2.2","","19","","162","","166",""
"1989年","33000","岡山県","711097","","","","16.0","","31.2","","2.6","","39","","123","","102",""
"1989年","34000","広島県","847312","","","","16.3","","31.8","","3.5","","32","","126","","104",""
"1989年","35000","山口県","610885","","","","15.4","","31.4","","1.8","","34","","149","","122",""
"1989年","36000","徳島県","414320","","","","16.6","","31.0","","4.3","","21","","125","","106",""
"1989年","37000","香川県","187477","","","","15.8","","30.6","","2.6","","41","","114","","102",""
"1989年","38000","愛媛県","567288","","","","16.3","","30.9","","3.7","","31","","117","","113",""
"1989年","39000","高知県","710394","","","","16.9","","31.2","","3.3","","46","","127","","118",""
"1989年","40000","福岡県","496521","","","","17.0","","31.5","","5.1","","24","","139","","117",""
"1989年","41000","佐賀県","243876","","","","16.7","","32.8","","4.3","","41","","144","","105",""
"1989年","42000","長崎県","408857","","","","17.2","","31.5","","6.1","","34","","132","","106",""
"1989年","43000","熊本県","740014","","","","16.9","","32.9","","3.2","","38","","132","","108",""
"1989年","44000","大分県","633562","","","","16.3","","30.6","","3.9","","41","","117","","106",""
"1989年","45000","宮崎県","773319","","","","17.5","","30.6","","4.1","","52","","144","","114",""
"1989年","46000","鹿児島県","918215","","","","18.4","","31.6","","5.6","","39","","131","","113",""
"1989年","47000","沖縄県","226364","","","","22.7","","31.5","","15.1","","6","","171","","115",""
"1990年","01000","北海道","7841259","","5355194","","10.1","","27.2","","-9.0","","16","","142","","141",""
"1990年","02000","青森県","960557","","623191","","11.7","","28.9","","-4.9","","16","","178","","145",""
"1990年","03000","岩手県","1527440","","1151538","","11.3","","29.6","","-7.4","","20","","147","","135",""
"1990年","04000","宮城県","728430","","414117","","13.6","","30.1","","-2.6","","21","","141","","98",""
"1990年","05000","秋田県","1161266","","821933","","12.7","","29.6","","-3.6","","20","","184","","163",""
"1990年","06000","山形県","932327","","644302","","12.9","","32.0","","-4.6","","12","","175","","127",""
"1990年","07000","福島県","1378141","","945199","","14.1","","32.1","","-2.5","","20","","147","","92",""
"1990年","08000","茨城県","609340","","195179","","14.6","","31.0","","-3.0","","40","","143","","103",""
"1990年","09000","栃木県","640828","","350418","","14.6","","32.4","","-3.4","","41","","151","","118",""
"1990年","10000","群馬県","636318","","407883","","15.3","","33.3","","-1.4","","44","","134","","99",""
"1990年","11000","埼玉県","379734","","125556","","15.6","","34.0","","-1.4","","60","","145","","97",""
"1990年","12000","千葉県","515575","","167897","","16.6","","31.8","","1.0","","48","","162","","108",""
"1990年","13000","東京都","218326","","80147","","17.0","","32.4","","1.7","","48","","131","","106",""
"1990年","14000","神奈川県","241211","","97192","","16.6","","31.9","","1.3","","41","","150","","114",""
"1990年","15000","新潟県","1258162","","785882","","14.9","","31.7","","-0.7","","12","","180","","167",""
"1990年","16000","富山県","424609","","240021","","14.9","","30.8","","-0.6","","15","","184","","163",""
"1990年","17000","石川県","418456","","277839","","15.5","","32.7","","0.4","","22","","164","","169",""
"1990年","18000","福井県","418759","","311579","","15.4","","32.7","","0.3","","18","","190","","174",""
"1990年","19000","山梨県","446537","","347466","","15.3","","33.7","","-2.4","","45","","150","","103",""
"1990年","20000","長野県","1358500","","1018539","","12.9","","32.5","","-4.7","","19","","138","","108",""
"1990年","21000","岐阜県","1059787","","848271","","16.5","","33.9","","0.4","","49","","125","","116",""
"1990年","22000","静岡県","777887","","495265","","17.1","","31.5","","1.4","","60","","153","","113",""
"1990年","23000","愛知県","514684","","223938","","16.6","","33.5","","0.8","","30","","122","","113",""
"1990年","24000","三重県","577448","","378723","","16.6","","32.2","","1.4","","49","","137","","110",""
"1990年","25000","滋賀県","401723","","204376","","15.4","","32.6","","0.7","","31","","166","","134",""
"1990年","26000","京都府","461219","","346654","","16.6","","34.6","","1.0","","25","","142","","112",""
"1990年","27000","大阪府","188384","","59228","","17.4","","34.7","","2.4","","20","","127","","109",""
"1990年","28000","兵庫県","838168","","571041","","16.7","","33.3","","1.6","","29","","124","","101",""
"1990年","29000","奈良県","369041","","284775","","15.5","","34.0","","-0.5","","32","","147","","114",""
"1990年","30000","和歌山県","472234","","363507","","17.3","","33.8","","2.5","","24","","115","","105",""
"1990年","31000","鳥取県","349779","","259588","","15.7","","33.8","","0.7","","26","","167","","164",""
"1990年","32000","島根県","662601","","522808","","15.6","","33.3","","0.7","","22","","171","","163",""
"1990年","33000","岡山県","711105","","486690","","16.8","","33.9","","0.8","","39","","136","","108",""
"1990年","34000","広島県","847341","","619909","","17.0","","34.0","","1.5","","34","","147","","115",""
"1990年","35000","山口県","610909","","435712","","16.0","","33.7","","-0.3","","37","","145","","121",""
"1990年","36000","徳島県","414322","","312357","","17.2","","33.2","","2.4","","34","","121","","108",""
"1990年","37000","香川県","187486","","89181","","16.8","","33.0","","0.9","","41","","108","","111",""
"1990年","38000","愛媛県","567357","","400204","","17.0","","32.9","","1.9","","33","","120","","114",""
"1990年","39000","高知県","710395","","592211","","17.4","","32.4","","1.6","","43","","110","","118",""
"1990年","40000","福岡県","496558","","223031","","17.7","","34.2","","2.7","","23","","117","","115",""
"1990年","41000","佐賀県","243876","","108221","","17.2","","35.0","","1.3","","40","","148","","109",""
"1990年","42000","長崎県","408873","","241103","","17.8","","33.3","","3.2","","24","","120","","107",""
"1990年","43000","熊本県","740089","","465257","","17.5","","34.7","","0.6","","29","","125","","111",""
"1990年","44000","大分県","633579","","450105","","17.0","","33.0","","1.7","","38","","106","","95",""
"1990年","45000","宮崎県","773320","","586996","","18.0","","32.6","","2.4","","60","","111","","121",""
"1990年","46000","鹿児島県","918326","","584187","","18.8","","33.1","","3.7","","36","","114","","110",""
"1990年","47000","沖縄県","226400","","106763","","23.0","","32.4","","14.2","","7","","165","","127",""
"1991年","01000","北海道","7841482","","","","9.5","","25.4","","-6.6","","14","","161","","137",""
"1991年","02000","青森県","960584","","","","10.8","","25.7","","-3.6","","15","","188","","164",""
"1991年","03000","岩手県","1527477","","","","10.5","","26.9","","-5.3","","10","","173","","133",""
"1991年","04000","宮城県","728436","","","","12.5","","25.6","","-1.9","","15","","143","","110",""
"1991年","05000","秋田県","1161266","","","","11.8","","27.7","","-2.3","","10","","219","","192",""
"1991年","06000","山形県","932331","","","","12.0","","28.5","","-3.1","","14","","184","","137",""
"1991年","07000","福島県","1378151","","","","13.1","","27.7","","-1.9","","13","","159","","112",""
"1991年","08000","茨城県","609340","","","","14.0","","28.1","","-1.9","","34","","147","","105",""
"1991年","09000","栃木県","640828","","","","14.1","","29.1","","-2.3","","20","","166","","117",""
"1991年","10000","群馬県","636318","","","","14.8","","30.0","","-1.1","","36","","152","","109",""
"1991年","11000","埼玉県","379733","","","","15.2","","30.2","","-0.5","","44","","158","","102",""
"1991年","12000","千葉県","515576","","","","15.9","","29.3","","2.2","","29","","182","","112",""
"1991年","13000","東京都","218328","","","","16.4","","30.1","","2.5","","33","","146","","109",""
"1991年","14000","神奈川県","241261","","","","15.9","","29.9","","2.4","","25","","158","","118",""
"1991年","15000","新潟県","1258163","","","","13.9","","28.4","","-0.1","","5","","207","","179",""
"1991年","16000","富山県","424609","","","","13.9","","28.8","","-0.6","","9","","222","","180",""
"1991年","17000","石川県","418460","","","","14.7","","29.8","","0.4","","13","","208","","191",""
"1991年","18000","福井県","418796","","","","14.6","","30.0","","0.0","","13","","230","","191",""
"1991年","19000","山梨県","446537","","","","14.8","","31.2","","-2.3","","39","","139","","105",""
"1991年","20000","長野県","1358500","","","","12.2","","29.2","","-4.4","","14","","171","","115",""
"1991年","21000","岐阜県","1059789","","","","15.9","","31.6","","0.0","","41","","145","","129",""
"1991年","22000","静岡県","777891","","","","16.8","","31.0","","1.3","","48","","169","","114",""
"1991年","23000","愛知県","511033","","","","16.1","","31.2","","0.5","","31","","138","","114",""
"1991年","24000","三重県","577458","","","","16.1","","30.5","","1.6","","36","","160","","119",""
"1991年","25000","滋賀県","401723","","","","14.9","","30.4","","0.5","","22","","190","","138",""
"1991年","26000","京都府","461236","","","","16.1","","32.0","","0.9","","16","","153","","110",""
"1991年","27000","大阪府","188649","","","","17.1","","32.6","","2.5","","21","","138","","108",""
"1991年","28000","兵庫県","838285","","","","16.4","","31.9","","1.4","","32","","138","","99",""
"1991年","29000","奈良県","369040","","","","15.2","","31.0","","-0.4","","28","","166","","117",""
"1991年","30000","和歌山県","472238","","","","16.8","","31.5","","2.4","","22","","144","","106",""
"1991年","31000","鳥取県","349794","","","","15.0","","30.6","","0.4","","12","","206","","171",""
"1991年","32000","島根県","662604","","","","14.7","","28.8","","0.3","","15","","194","","158",""
"1991年","33000","岡山県","711105","","","","16.1","","31.4","","0.8","","29","","147","","92",""
"1991年","34000","広島県","847349","","","","16.4","","31.9","","1.3","","31","","148","","101",""
"1991年","35000","山口県","610919","","","","15.3","","30.9","","0.0","","37","","163","","140",""
"1991年","36000","徳島県","414322","","","","16.7","","31.0","","2.6","","26","","129","","107",""
"1991年","37000","香川県","187493","","","","16.3","","31.7","","1.4","","23","","137","","112",""
"1991年","38000","愛媛県","567408","","","","16.5","","31.5","","2.0","","35","","132","","115",""
"1991年","39000","高知県","710402","","","","17.2","","31.6","","1.4","","38","","143","","115",""
"1991年","40000","福岡県","496576","","","","16.6","","30.8","","2.8","","26","","162","","125",""
"1991年","41000","佐賀県","243880","","","","16.5","","31.5","","1.5","","42","","165","","124",""
"1991年","42000","長崎県","408892","","","","17.0","","30.6","","3.5","","29","","162","","128",""
"1991年","43000","熊本県","740152","","","","16.8","","32.4","","1.0","","35","","145","","129",""
"1991年","44000","大分県","633613","","","","16.2","","31.3","","1.5","","30","","141","","122",""
"1991年","45000","宮崎県","773331","","","","17.9","","33.0","","2.9","","47","","146","","124",""
"1991年","46000","鹿児島県","918469","","","","18.4","","32.1","","3.6","","25","","148","","133",""
"1991年","47000","沖縄県","226483","","","","23.4","","32.7","","14.0","","10","","144","","109",""
"1992年","01000","北海道","7841437","","","","8.8","","25.1","","-6.2","","17","","153","","149",""
"1992年","02000","青森県","960602","","","","10.5","","26.5","","-3.4","","13","","184","","161",""
"1992年","03000","岩手県","1527517","","","","10.2","","27.5","","-4.5","","11","","152","","133",""
